LapNumber,LapTime,Compound,Stint,TyreLife,LapTimeSeconds,Year,Round,Driver,Session,StintLength,CorrectedTime,DegradationDelta,FreshTireBenchmark,HealthScore
1.0,0 days 00:01:32.190000,MEDIUM,1.0,1.0,92.19,2023,22,VER,R,16.0,90.8775,1.6069999999999993,89.2705,35.72000000000003
2.0,0 days 00:01:30.710000,MEDIUM,1.0,2.0,90.71,2023,22,VER,R,16.0,89.485,0.21450000000000102,89.2705,91.41999999999996
3.0,0 days 00:01:30.408000,MEDIUM,1.0,3.0,90.408,2023,22,VER,R,16.0,89.2705,0.0,89.2705,100.0
4.0,0 days 00:01:30.716000,MEDIUM,1.0,4.0,90.716,2023,22,VER,R,16.0,89.666,0.3954999999999984,89.2705,84.18000000000006
5.0,0 days 00:01:30.552000,MEDIUM,1.0,5.0,90.552,2023,22,VER,R,16.0,89.5895,0.3190000000000026,89.2705,87.2399999999999
6.0,0 days 00:01:30.440000,MEDIUM,1.0,6.0,90.44,2023,22,VER,R,16.0,89.565,0.2944999999999993,89.2705,88.22000000000003
7.0,0 days 00:01:30.529000,MEDIUM,1.0,7.0,90.529,2023,22,VER,R,16.0,89.7415,0.47100000000000364,89.2705,81.15999999999985
8.0,0 days 00:01:30.516000,MEDIUM,1.0,8.0,90.516,2023,22,VER,R,16.0,89.816,0.5455000000000041,89.2705,78.17999999999984
9.0,0 days 00:01:30.632000,MEDIUM,1.0,9.0,90.632,2023,22,VER,R,16.0,90.01950000000001,0.7490000000000094,89.2705,70.03999999999962
10.0,0 days 00:01:30.506000,MEDIUM,1.0,10.0,90.506,2023,22,VER,R,16.0,89.981,0.7104999999999961,89.2705,71.58000000000015
11.0,0 days 00:01:30.561000,MEDIUM,1.0,11.0,90.561,2023,22,VER,R,16.0,90.1235,0.8530000000000086,89.2705,65.87999999999965
12.0,0 days 00:01:30.590000,MEDIUM,1.0,12.0,90.59,2023,22,VER,R,16.0,90.24000000000001,0.9695000000000107,89.2705,61.21999999999957
13.0,0 days 00:01:30.561000,MEDIUM,1.0,13.0,90.561,2023,22,VER,R,16.0,90.2985,1.0280000000000058,89.2705,58.87999999999977
14.0,0 days 00:01:30.647000,MEDIUM,1.0,14.0,90.647,2023,22,VER,R,16.0,90.47200000000001,1.20150000000001,89.2705,51.9399999999996
15.0,0 days 00:01:30.267000,MEDIUM,1.0,15.0,90.267,2023,22,VER,R,16.0,90.17949999999999,0.9089999999999918,89.2705,63.64000000000033
16.0,0 days 00:01:32.558000,MEDIUM,1.0,16.0,92.558,2023,22,VER,R,16.0,92.558,3.2875000000000085,89.2705,0.0
17.0,0 days 00:01:50.188000,HARD,2.0,1.0,110.188,2023,22,VER,R,27.0,107.913,20.711,87.202,0.0
18.0,0 days 00:01:29.896000,HARD,2.0,2.0,89.896,2023,22,VER,R,27.0,87.7085,0.5065000000000026,87.202,79.7399999999999
19.0,0 days 00:01:29.386000,HARD,2.0,3.0,89.386,2023,22,VER,R,27.0,87.286,0.08400000000000318,87.202,96.63999999999987
20.0,0 days 00:01:29.628000,HARD,2.0,4.0,89.628,2023,22,VER,R,27.0,87.6155,0.4134999999999991,87.202,83.46000000000004
21.0,0 days 00:01:29.127000,HARD,2.0,5.0,89.127,2023,22,VER,R,27.0,87.202,0.0,87.202,100.0
22.0,0 days 00:01:29.689000,HARD,2.0,6.0,89.689,2023,22,VER,R,27.0,87.85149999999999,0.6494999999999891,87.202,74.02000000000044
23.0,0 days 00:01:29.634000,HARD,2.0,7.0,89.634,2023,22,VER,R,27.0,87.884,0.6820000000000022,87.202,72.71999999999991
24.0,0 days 00:01:29.293000,HARD,2.0,8.0,89.293,2023,22,VER,R,27.0,87.63050000000001,0.42850000000001387,87.202,82.85999999999945
25.0,0 days 00:01:29.401000,HARD,2.0,9.0,89.401,2023,22,VER,R,27.0,87.826,0.6239999999999952,87.202,75.04000000000019
26.0,0 days 00:01:29.289000,HARD,2.0,10.0,89.289,2023,22,VER,R,27.0,87.8015,0.5995000000000061,87.202,76.01999999999975
27.0,0 days 00:01:29.156000,HARD,2.0,11.0,89.156,2023,22,VER,R,27.0,87.756,0.554000000000002,87.202,77.83999999999992
28.0,0 days 00:01:29.217000,HARD,2.0,12.0,89.217,2023,22,VER,R,27.0,87.9045,0.7025000000000006,87.202,71.89999999999998
29.0,0 days 00:01:29.183000,HARD,2.0,13.0,89.183,2023,22,VER,R,27.0,87.95800000000001,0.7560000000000144,87.202,69.75999999999942
30.0,0 days 00:01:29.266000,HARD,2.0,14.0,89.266,2023,22,VER,R,27.0,88.1285,0.9265000000000043,87.202,62.93999999999983
31.0,0 days 00:01:29.149000,HARD,2.0,15.0,89.149,2023,22,VER,R,27.0,88.099,0.8970000000000056,87.202,64.11999999999978
32.0,0 days 00:01:29.100000,HARD,2.0,16.0,89.1,2023,22,VER,R,27.0,88.13749999999999,0.9354999999999905,87.202,62.58000000000038
33.0,0 days 00:01:29.137000,HARD,2.0,17.0,89.137,2023,22,VER,R,27.0,88.262,1.0600000000000023,87.202,57.59999999999991
34.0,0 days 00:01:29.077000,HARD,2.0,18.0,89.077,2023,22,VER,R,27.0,88.2895,1.0875000000000057,87.202,56.49999999999977
35.0,0 days 00:01:29.148000,HARD,2.0,19.0,89.148,2023,22,VER,R,27.0,88.448,1.2459999999999951,87.202,50.160000000000196
36.0,0 days 00:01:28.902000,HARD,2.0,20.0,88.902,2023,22,VER,R,27.0,88.2895,1.0875000000000057,87.202,56.49999999999977
37.0,0 days 00:01:28.910000,HARD,2.0,21.0,88.91,2023,22,VER,R,27.0,88.38499999999999,1.1829999999999927,87.202,52.68000000000029
38.0,0 days 00:01:29.073000,HARD,2.0,22.0,89.073,2023,22,VER,R,27.0,88.6355,1.4334999999999951,87.202,42.660000000000196
39.0,0 days 00:01:28.849000,HARD,2.0,23.0,88.849,2023,22,VER,R,27.0,88.49900000000001,1.2970000000000113,87.202,48.11999999999955
40.0,0 days 00:01:29.053000,HARD,2.0,24.0,89.053,2023,22,VER,R,27.0,88.7905,1.5884999999999962,87.202,36.46000000000015
41.0,0 days 00:01:29.003000,HARD,2.0,25.0,89.003,2023,22,VER,R,27.0,88.828,1.6260000000000048,87.202,34.959999999999816
42.0,0 days 00:01:29.082000,HARD,2.0,26.0,89.082,2023,22,VER,R,27.0,88.99449999999999,1.7924999999999898,87.202,28.300000000000413
43.0,0 days 00:01:31.391000,HARD,2.0,27.0,91.391,2023,22,VER,R,27.0,91.391,4.189000000000007,87.202,0.0
44.0,0 days 00:01:48.170000,HARD,3.0,1.0,108.17,2023,22,VER,R,15.0,106.94500000000001,21.089500000000015,85.85549999999999,0.0
45.0,0 days 00:01:26.993000,HARD,3.0,2.0,86.993,2023,22,VER,R,15.0,85.85549999999999,0.0,85.85549999999999,100.0
46.0,0 days 00:01:27.902000,HARD,3.0,3.0,87.902,2023,22,VER,R,15.0,86.852,0.9965000000000117,85.85549999999999,60.139999999999525
